lea_id,lea_name,identified_student_percentage_isp,eligible_to_participate,near_eligible_to_participate,currently_participating_in_cep,participating_and_eligible_for_a_grace_year,total_number_of_schools_in_participating_eligible_and_near_eligible_le_as,total_student_enrollment_in_participating_and_eligible_le_as,total_number_of_cep_schools_in_the_lea,total_student_enrollment_at_cep_schools,currently_participating_in_cep_district_wide,currently_participating_in_cep_in_one_or_some_schools_not_district_wide,year,participation_type
24N,Columbus Charter School,65.34,X,NA,NA,NA,1,681,NA,NA,NA,NA,2019,Not Participating
26C,Capitol Encore Academy,52.23,X,NA,NA,NA,1,469,NA,NA,NA,NA,2019,Not Participating
32A,Maureen Joy Charter,58.37,X,NA,NA,NA,1,627,NA,NA,NA,NA,2019,Not Participating
32B,Healthy Start Academy,70.07,X,NA,X,NA,1,391,1,391,A,NA,2019,District Wide
32C,Carter Community Charter,69.67,X,NA,X,NA,1,244,1,244,A,NA,2019,District Wide
32H,Research Triangle Charter,41.62,X,NA,NA,NA,1,716,NA,NA,NA,NA,2019,Not Participating
32K,Central Park School for Children,20.67,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
32M,Global Scholars Academy,63.05,X,NA,NA,NA,1,203,NA,NA,NA,NA,2019,Not Participating
32S,KIPP Durham College Preparatory,70.44,X,NA,X,NA,1,335,1,335,A,NA,2019,District Wide
33A,North East Carolina Preparatory School,29.23,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
34B,Quality Education Academy,66.29,X,NA,X,NA,1,543,1,543,A,NA,2019,District Wide
34D,C G Woodson Sch of Challenge,67.19,X,NA,X,NA,1,381,1,381,A,NA,2019,District Wide
34F,Forsyth Academy,48.64,X,NA,NA,NA,1,662,NA,NA,NA,NA,2019,Not Participating
36C,Mountain Island Charter School,7.39,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
41C,Guilford Preparatory,95.72,X,NA,X,NA,1,281,1,281,A,NA,2019,District Wide
41F,Triad Math & Science Academy,42.35,X,NA,NA,NA,1,1223,NA,NA,NA,NA,2019,Not Participating
41H,The College Preparatory and Leadership Academy of High Point,62.43,X,NA,X,NA,1,591,1,591,A,NA,2019,District Wide
41J,Summerfield Charter Academy,7.86,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
41L,Gate City Charter Academy,35.65,NA,X,NA,NA,1,645,NA,NA,NA,NA,2019,Not Participating
42A,KIPP - Halifax College Preparatory,61.57,X,NA,X,NA,1,419,1,419,A,NA,2019,District Wide
49D,Success Institute Charter,60,X,NA,X,NA,1,100,1,100,A,NA,2019,District Wide
49F,Langtree Charter Academy,5.21,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
49G,Iredell Charter Academy,11.24,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
51B,Johnston Charter Academy,12.15,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
54A,Children's Village Academy,91.95,X,NA,X,NA,1,174,1,174,A,NA,2019,District Wide
60B,Sugar Creek Charter,53.43,X,NA,NA,NA,2,1484,NA,NA,NA,NA,2019,Not Participating
60G,Queen's Grant Community,14.7,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
60L,KIPP Charlotte,59.56,X,NA,X,NA,2,685,2,685,A,NA,2019,District Wide
60N,Aristotle Preparatory Academy,72.47,X,NA,X,NA,1,109,1,109,A,NA,2019,District Wide
60P,Charlotte Choice Charter,59.09,X,NA,NA,NA,1,88,NA,NA,NA,NA,2019,Not Participating
60V,Charlotte Learning Academy,51.76,X,NA,X,NA,1,226,1,226,A,NA,2019,District Wide
61Q,Mallard Creek STEM Academy,10.73,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
61R,Matthew's Charter Academy,13.11,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
61T,Movement Charter School,57.29,X,NA,NA,NA,1,377,NA,NA,NA,NA,2019,Not Participating
61U,UpROAR Leadership Academy,24.73,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
64A,Rocky Mount Preparatory,41.18,X,NA,NA,NA,1,1129,NA,NA,NA,NA,2019,Not Participating
65C,Douglass Academy,85.58,X,NA,X,NA,1,111,1,111,A,NA,2019,District Wide
65G,Girls Leadership Academy of Wilmington,70.66,X,NA,NA,NA,1,225,NA,NA,NA,NA,2019,Not Participating
66A,Gaston College Preparatory,42.71,X,NA,X,NA,3,1208,2,854,NA,S,2019,Some Schools
67B,Z.E.C.A. School of Art and Technology,78.08,X,NA,X,NA,1,146,1,146,A,NA,2019,District Wide
69A,Arapahoe Charter School,47.83,X,NA,NA,NA,1,531,NA,NA,NA,NA,2019,Not Participating
73A,Bethel Hill Charter,27.7,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
74C,Winterville Charter Academy,39.65,NA,X,NA,NA,1,580,NA,NA,NA,NA,2019,Not Participating
78A,CIS Academy,76.66,X,NA,NA,NA,1,120,NA,NA,NA,NA,2019,Not Participating
90C,Union Preparatory Academy,6.56,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
91B,Henderson Collegiate,37.12,NA,X,X,NA,1,1161,1,1161,A,NA,2019,District Wide
92-L,Torchlight Academy,51.85,X,NA,X,NA,2,565,2,565,A,NA,2019,District Wide
