LEA ID,LEA name,Identified Student Percentage (ISP),Eligible to Participate,Near Eligible to Participate,Currently Participating in CEP,Participating and Eligible for a Grace Year,"Total Number of Schools in Participating, Eligible, and Near-Eligible LEAs",Total Student Enrollment in Participating and Eligible LEAs,Total Number of CEP Schools in the LEA,Total Student Enrollment at CEP Schools,Currently Participating in CEP District-wide,Currently Participating in CEP in One or Some Schools (Not District-wide),Comments,
920,Wake County Schools,30.12%,X, ,X, ,197,164645,12,4765,,S,,
92M,PreEminent Charter,72.46%,X, ,X, ,1,679,1,679,A,,,
92V,Wake Forest Charter Academy,31.21%,X, , , ,1,721,,,,,,
92W,Cardinal Charter Academy,36.81%,X, , , ,1,690,,,,,,
930,Warren County Schools,82.85%,X, ,X, ,7,1697,7,1697,A,,,
93A,Haliwa-Saponi Tribal School,86.01%,X, ,X, ,1,143,1,143,A,,,
93J,RISE Southeast Raleigh Charter School,91.88%,X, ,X, ,1,468,1,468,A,,,
93M,Peak Charter Academy,9.51%, , , , ,0,0,,,,,,
93P,Rolesville Charter Academy,41.06%,X, , , ,1,738,,,,,,
93T,Cardinal Charter Academy at Wendell Falls,48.50%,X, , , ,1,565,,,,,,
93V,Doral Academy of North Carolina,33.77%,X, , , ,1,459,,,,,,
940,Washington County Schools,82.74%,X, ,X, ,5,1072,5,1072,A,,,
950,Watauga County Schools,31.68%,X, , , ,10,4672,,,,,,
960,Wayne County Public Schools,62.72%,X, ,X, ,34,17229,30,15366,,S,,
96C,Dillard Academy,95.38%,X, ,X, ,1,238,1,238,A,,,
96G,Wayne STEM Academy,53.09%,X, , , ,1,162,,,,,,
970,Wilkes County Schools,54.52%,X, ,X, ,22,8494,22,8494,A,,,
980,Wilson County Schools,58.41%,X, ,X, ,24,10358,22,9865,,S,,
98A,Sallie B Howard School,75.57%,X, ,X, ,1,1179,1,1179,A,,,
98B,Wilson Preparatory Academy,64.74%,X, ,X, ,1,709,1,709,A,,,
990,Yadkin County Schools,49.77%,X, ,X, ,14,5168,8,2624,,S,,
995,Yancey County Schools,52.25%,X, , , ,7,2065,,,,,,
