LEA ID,LEA Name,Identified Student Percentage (ISP),Eligible to Participate,Near Eligible to Participate,Currently Participating in CEP,Participating and Eligible for a Grace Year,"Total Number of Schools in Participating, Eligible, and Near-Eligible LEAs",Total Student Enrollment in Participating and Eligible LEAs,Total Number of CEP Schools in the LEA,Total Student Enrollment at CEP Schools,Currently Participating in CEP District-wide,Currently Participating in CEP in One or Some Schools (Not District-wide),Comments,
32H,Research Triangle Charter,41.62%,X, , ,,1,716,,,,,,
32K,Central Park School for Children,20.67%, , , ,,0,0,,,,,,
32M,Global Scholars Academy,63.05%,X, , ,,1,203,,,,,,
32S,KIPP Durham College Preparatory,70.44%,X, ,X,,1,335,1,335,A,,,
33A,North East Carolina Preparatory School,29.23%, , , ,,0,0,,,,,,
34B,Quality Education Academy,66.29%,X, ,X,,1,543,1,543,A,,,
34D,C G Woodson Sch of Challenge,67.19%,X, ,X,,1,381,1,381,A,,,
34F,Forsyth Academy,48.64%,X, , ,,1,662,,,,,,
36C,Mountain Island Charter School,7.39%, , , ,,0,0,,,,,,
41C,Guilford Preparatory,95.72%,X, ,X,,1,281,1,281,A,,,
41F,Triad Math & Science Academy,42.35%,X, , ,,1,1223,,,,,,
41H,The College Preparatory and Leadership Academy of High Point,62.43%,X, ,X,,1,591,1,591,A,,,
41J,Summerfield Charter Academy,7.86%, , , ,,0,0,,,,,,
41L,Gate City Charter Academy,35.65%, ,X, ,,1,645,,,,,,
42A,KIPP - Halifax College Preparatory,61.57%,X, ,X,,1,419,1,419,A,,,
49D,Success Institute Charter,60.00%,X, ,X,,1,100,1,100,A,,,
49F,Langtree Charter Academy,5.21%, , , ,,0,0,,,,,,
49G,Iredell Charter Academy,11.24%, , , ,,0,0,,,,,,
51B,Johnston Charter Academy,12.15%, , , ,,0,0,,,,,,
54A,Children's Village Academy,91.95%,X, ,X,,1,174,1,174,A,,,
60B,Sugar Creek Charter,53.43%,X, , ,,2,1484,,,,,,
60G,Queen's Grant Community,14.70%, , , ,,0,0,,,,,,
60L,KIPP Charlotte,59.56%,X, ,X,,2,685,2,685,A,,,
60N,Aristotle Preparatory Academy,72.47%,X, ,X,,1,109,1,109,A,,,
60P,Charlotte Choice Charter,59.09%,X, , ,,1,88,,,,,,
60V,Charlotte Learning Academy,51.76%,X, ,X,,1,226,1,226,A,,,
61Q,Mallard Creek STEM Academy,10.73%, , , ,,0,0,,,,,,
61R,Matthew's Charter Academy,13.11%, , , ,,0,0,,,,,,
61T,Movement Charter School,57.29%,X, , ,,1,377,,,,,,
61U,UpROAR Leadership Academy,24.73%, , , ,,0,0,,,,,,
64A,Rocky Mount Preparatory,41.18%,X, , ,,1,1129,,,,,,
65C,Douglass Academy,85.58%,X, ,X,,1,111,1,111,A,,,
65G,Girls Leadership Academy of Wilmington,70.66%,X, , ,,1,225,,,,,,
66A,Gaston College Preparatory,42.71%,X, ,X,,3,1208,2,854,,S,,
67B,Z.E.C.A. School of Art and Technology,78.08%,X, ,X,,1,146,1,146,A,,,
69A,Arapahoe Charter School,47.83%,X, , ,,1,531,,,,,,
73A,Bethel Hill Charter,27.70%, , , ,,0,0,,,,,,
74C,Winterville Charter Academy,39.65%, ,X, ,,1,580,,,,,,
78A,CIS Academy,76.66%,X, , ,,1,120,,,,,,
90C,Union Preparatory Academy,6.56%, , , ,,0,0,,,,,,
91B,Henderson Collegiate,37.12%, ,X,X,,1,1161,1,1161,A,,,
92-L,Torchlight Academy,51.85%,X, ,X,,2,565,2,565,A,,,
92M,PreEminent Charter,50.80%,X, , ,,1,620,,,,,,
92Q,Hope Charter Leadership Academy,50.00%,X, ,X,,1,104,1,104,A,,,
92V,Wake Forest Charter Academy,3.21%, , , ,,0,0,,,,,,
92W,Cardinal Charter Academy,6.54%, , , ,,0,0,,,,,,
93A,Haliwa-Saponi Tribal School,68.51%,X, ,X,,1,162,1,162,A,,,
93J,PAVE Southeast Raleigh Charter School,47.77%,X, ,X,,1,360,1,360,A,,,
93M,Peak Charter Academy,2.91%, , , ,,0,0,,,,,,
93P,Rolesville Charter Academy,9.20%, , , ,,0,0,,,,,,
96C,Dillard Academy,89.23%,X, ,X,,1,288,1,288,A,,,
97D,Bridges Academy,48.14%,X, ,X,,1,135,1,135,A,,,
98A,Sallie B Howard School,61.20%,X, ,X,,1,982,1,982,A,,,
